PRODUCT_NUMBER,INTRODUCTION_DATE,PRODUCT_TYPE_CODE,PRODUCTION_COST,MARGIN,PRODUCT_IMAGE,LANGUAGE,PRODUCT_NAME,DESCRIPTION
53,2021-01-10,8.0,28.549999237060547,0.28,P53ME2CA8.jpg,EN,Firefly Climbing Lamp,"This climbing lamp is water-resistant. It comes with two bulbs, standard and halogen. Includes one 6V halogen bulb and one 6V standard bulb. Weight: 200g."
54,2021-01-10,8.0,35.33000183105469,0.33,None,EN,Firefly Charger,"Power charger for the Firefly Climbing Lamp. The charger cannot overcharge the Firefly battery, so you can leave it in the charger without worrying."
55,,8.0,4.0,0.5,P55ME2CA8.jpg,EN,Firefly Rechargeable Battery,"Rechargeable battery pack for the Firefly Climbing Lamp. Each charge gives 3 hours of light with a halogen bulb and 9 hours with standard bulb. Battery may be recharged up to 1,000 times."
56,2021-01-10,8.0,9.0,0.5,None,EN,Granite Chalk Bag,Nylon web bag perfect for holding several sticks of chalk.
57,2021-01-10,9.0,40.0,0.5,P57ME2TL9.jpg,EN,Granite Ice,A general purpose mountaineering axe for snow and glacier travel. Excellent mid-weight axe. Weight: 638 g
58,2021-01-10,9.0,57.130001068115234,0.28,P58ME2TL9.jpg,EN,Granite Hammer,A solid hammer made with a solid hard wood handle and steel head.  Weight: 800g.
59,2021-01-10,9.0,46.150001525878906,0.23,P59ME2TL9.jpg,EN,Granite Shovel,Shovel has removable aluminum handle and heat treated aluminum blade.
60,2021-01-10,9.0,10.0,0.5,P60ME2TL9.jpg,EN,Granite Grip,"All-purpose stainless steel pliers. Sheath included. Length (closed) 12cm, (open) 16 cm. Weight: 200 g."
61,2021-01-10,9.0,20.0,0.5,P61ME2TL9.jpg,EN,Granite Axe,Camping axe with clear coated wood handle.
62,2021-01-10,9.0,47.060001373291016,0.4,P62ME2TL9.jpg,EN,Granite Extreme,"The Edge Extreme is a collapsible plier-shaped gadget, three knife blades, file and scissors, perfect for the outdoors.  Carrying case included."
63,2011-02-15,10.0,30.0,0.33,P63PA3WT10.jpg,EN,Mountain Man Analog,"Padded leather strap, precision Swiss quartz movement, sweep second hand, 24-hour time ring, luminous hands and markers, hardened mineral crystal."
64,2011-02-15,10.0,20.0,0.5,P64PA3WT10.jpg,EN,"Tough rubber strap, digital face, hardened crystal, water-resistant to 50 meters.",Mountain Man Digital
65,2013-03-05,10.0,39.0,0.5,P65PA3WT10.jpg,EN,Mountain Man Deluxe,"Tough rubber strap, precision Swiss quartz movement, imbedded digital face, luminous hands and markers, hardened mineral crystal, start and stop buttons, water-resistant to 50 meters."
66,2013-03-05,10.0,45.0,0.5,P66PA3WT10.jpg,EN,None,"Combination watch, altimeter, compass and barometric gauge.  Heavy duty rubber strap,  hardened mineral crystal."
67,2016-10-26,10.0,0.0,,P67PA3WT10.jpg,EN,Mountain Man Extreme,0.00
68,2011-02-15,11.0,46.150001525878906,0.23,P68PA3EW11.jpg,EN,Polar Sun,"The Polar Sun sunglasses have 3 mm thick lenses, which makes excellent protective eyewear for sport and safety."
69,2011-02-15,,73.33000183105469,0.33,P69PA3EW11.jpg,EN,Polar Ice,Polar Ice sunglasses have polarized lenses to combat glare from snow. Unbreakable nylon frame.
70,2013-03-05,11.0,80.0,0.33,None,EN,Polar Sports,Six base classic nylon composite frame sunglasses with wire core temples.
71,2013-03-05,11.0,0.0,0.33,P71PA3EW11.jpg,EN,Polar Wave,0.00
72,,11.0,72.5,0.5,P72PA3EW11.jpg,EN,NaT,Ideal for skiing and winter mountaineering. Frame is durable polyurethane with soft interior foam and adjustable woven elastic band providing an excellent fit. Weight: 139 g.
73,2011-02-15,12.0,8.5600004196167,0.28,P73PA3KV12.jpg,EN,Single Edge,"Single stainless steel blade folding knife. Length: (closed) 5 cm, (blade) 4.5 cm. Blade thickness 2 mm.  Weight: 90 g."
74,2011-02-15,12.0,11.430000305175781,0.28,P74PA3KV12.jpg,EN,Double Edge,"Double stainless steel blade folding knife. Length: (closed) 6 cm, (blades) 5.5 cm and 3 cm. Blade thickness: 2 mm. Weight: 110 g."
75,2016-10-26,12.0,80.0,0.28,P75PA3KV12.jpg,EN,Edge Extreme,"Multi-purpose pocketknife ruggedly constructed of stainless steel.  Includes 4 different blades, corkscrew, saw, scissors, pliers and more."
76,2011-02-15,12.0,23.530000686645508,0.4,P76PA3KV12.jpg,EN,Bear Edge,Knife is 33 cm long with a 20 cm blade made of surgical stainless steel. The handle is laminated wood. The custom made sheath is black leather.
77,2016-10-26,12.0,45.0,0.5,P77PA3KV12.jpg,EN,Bear Survival Edge,Features a 23 cm razor edge blade tempered from a special blend of stainless steel. The hollow handle has a compartment containing survival gear including a compass. Overall length: 36cm.
78,,13.0,79.19000244140625,0.2,P78PA3BN13.jpg,EN,Seeker 35,"This 7 x 35 model is economical and performs well optically. Fully coated lenses, compact and  lightweight. Rubber covered for secure and comfortable grip. Soft carrying case included."
79,2011-02-15,13.0,92.58000183105469,0.25,P78PA3BN13.jpg,EN,Seeker 50,Rubber coated and ergonomically designed. The wide angle of view of 10 x 50 keeps more of your subject in view at high magnification. Soft carrying case included.
80,2013-03-05,13.0,94.12000274658203,0.4,P80PA3BN13.jpg,EN,Seeker Extreme,"These ergonomic binoculars are light-weight and easy to hold.  Strong construction make them impervious to water, fog and thermal shocks. Soft carrying case included."
81,2013-03-05,13.0,40.0,0.5,P81PA3BN13.jpg,EN,Seeker Mini,"This 8 x 22 model is economical and performs well optically. Fully coated lenses, compact and  light-weight. Rubber covered for secure and comfortable grip. Soft carrying case included."
82,2013-03-05,14.0,0.0,0.33,P82PA3NV14.jpg,EN,Glacier Basic,Traditional magnetic compass in a stainless steel casing.
83,2013-03-05,14.0,56.25,0.37,None,EN,Glacier Deluxe,Magnetic Compass has a large sighting mirror with v-notch allowing for quick acquisition and accurate bearings to distant landmarks.
84,2013-03-05,14.0,78.55000305175781,0.28,None,EN,Glacier GPS,"Global Positioning System that is small, lightweight, and rugged. Incredibly easy to use, dedicated operation keys, and three user-friendly navigation screens."
85,2015-06-12,14.0,176.47000122070312,0.4,P85PA3NV14.jpg,EN,Glacier GPS Extreme,"Hand held GPS receiver with color display. Incredibly easy to use, three user-friendly navigation screens, and saves two routes. Up to 20 hours of battery life just on two AA batteries."
86,2011-02-15,15.0,2.0,0.67,P86OP4IR15.jpg,EN,BugShield Natural,"Contains no chemicals. Repels mosquitoes, black flies, biting midges, and fleas effectively. Safe for children and environmentally sound.  Active ingredient: Citronella 10%. 100 ml."
87,2011-02-15,15.0,2.0,0.67,P86OP4IR15.jpg,EN,BugShield Spray,"Repels black flies, ticks, mosquitoes, chiggers, deer flies and stable flies. Protects against Lyme ticks. Contains 23.75% active ingredient. Clear, odorless formula. 100 ml."
113,2020-01-15,21.0,6.0,0.5,P113GE5GA21.jpg,EN,None,Large red and white patterned golf umbrella.
114,2019-12-15,,80.0,0.6,P114GE5GA21.jpg,EN,Course Pro Golf Bag,High quality golf bag that includes carrying strap and large front pocket.
115,2019-12-27,21.0,5.0,0.5,P115GE5GA21.jpg,EN,Course Pro Gloves,Durable nylon constructed gloves with stitched leather palm.
1,2011-02-15,1.0,4.0,0.33,P01CE1CG1.jpg,EN,TrailChef Water Bag,"Lightweight, collapsible bag to carry liquids easily.  Wide mouth for easy filling.  Holds 10 liters."
2,2011-02-15,1.0,9.220000267028809,0.23,P02CE1CG1.jpg,EN,TrailChef Canteen,"Aluminum canteen. Rugged fleece-lined cover with belt clips, removable shoulder sling and small pocket for water purification tablets bottle. Holds 2 liters"
3,2011-02-15,1.0,15.930000305175781,0.28,P03CE1CG1.jpg,EN,TrailChef Kitchen Kit,"Zippered nylon pouch contains cutlery for two, can opener, wire whisk, scrubber sponge, 2  60 ml squirt bottles, pancake turner and salt and pepper shaker.  Measures 10 x 22 x 5 cm."
4,2011-02-15,1.0,5.0,0.28,P04CE1CG1.jpg,EN,TrailChef Cup,Tin cup. Holds 0.4 liters. Weight: 60 g
5,2011-02-15,1.0,34.970001220703125,0.3,P05CE1CG1.jpg,EN,TrailChef Cook Set,All you will ever need on the trail.  Pot gripper and nylon carrying bag included.  1.5 and 2 liter pots with individual lids. Weight: 750 g.
6,2013-03-05,1.0,85.11000061035156,0.28,P06CE1CG1.jpg,EN,TrailChef Deluxe Cook Set,"Cascade set features 1, 2, and 3 liter pots with individual lids that double as fry pans or plates. Pot gripper and nylon carrying bag included.  Weight: 1.4 kg."
7,2011-02-15,1.0,46.38,0.28,,EN,TrailChef Single Flame,"A single burner stove with integral tank.  It features precise flame control so you will never have to settle for burnt camp food again.  Weight 624 g, fuel is white gas."
8,2013-05-03,1.0,75.0,0.41,,EN,TrailChef Double Flame,"The TrailChef Double Flame is a camp stove which attaches directly to fuel canisters. Features precise flame control and a built-in windscreen.  Weight is 850 g, fuel is propane."
9,2013-03-05,1.0,9.0,0.25,P09CE1CG1.jpg,EN,TrailChef Kettle,"This old-fashioned style kettle is made of durable enamel.  Weight: 350g, Holds 1.5 liters."
10,,1.0,0.0,0.4,P10CE1CG1.jpg,10,TrailChef Utensils,"Spoon, fork and knife set made of a light yet strong metal alloy.  Carrying pouch included."
